类型,内容,任务条件,数值数组,字符串数组
number,string,boolean,string,string
type,content,condition,numList,strList
1,"你好,请到街对面接我.",true,"[-1,2,3.5]","['apple','orange','banana']"
2,停车!停车!,false,"[1,2,4]","['apple','orange','banana']"
3,去消费最高的地方.,false,"[1,2,5]","['apple','orange','banana']"
4,去附近的希尔顿酒店.,false,"[1,2,6]","['apple','orange','banana']"
5,司机快来!我老婆要生了!,false,"[1,2,7]","['apple','orange','banana']"
6,"大哥快点,我赶时间.",false,"[1,2,8]","['apple','orange','banana']"
7,"师傅,5分钟内能到吗?",false,"[1,2,9]","['apple','orange','banana']"
8,"师傅,你是老司机嘛?",false,"[1,2,10]","['apple','orange','banana']"
9,"师傅,你跑一天能赚多少?",false,"[1,2,11]","['apple','orange','banana']"
10,"师傅快点,我要赶飞机.",false,"[1,2,12]","['apple','orange','banana']"
11,师傅跟上那辆法拉利.,false,"[1,2,13]","['apple','orange','banana']"
12,带我去最近的银行.,false,"[1,2,14]","['apple','orange','banana']"
13,帮我跟上前面那辆车!,false,"[1,2,15]","['apple','orange','banana']"
14,"快去火车站,我赶车!",false,"[1,2,16]","['apple','orange','banana']"
15,我在酒店大堂门口等你.,false,"[1,2,17]","['apple','orange','banana']"
16,"要下雨了,你快来!",false,"[1,2,18]","['apple','orange','banana']"
